Иностранное ПО,Российский аналог,Описание,Категория,Ссылка для скачивания
Adobe Sign,СБИС,"Популярная система для электронного документооборота, отчетности, управления персоналом и взаимодействия с госорганами.",Управление бизнесом,https://sbis.ru/
Adobe Sign,Такском,"Провайдер услуг связи, хостинга, облачных сервисов и 1С.","Другое (офисные пакеты, утилиты и пр.)",https://taxcom.ru/
Adobe Stock,Photogenica,Онлайн-библиотека стоковых фотографий и изображений для использования в дизайне и рекламе.,Мультимедиа и графика,-
Adobe Stock,Лори,Система для автоматизации туристического бизнеса: туроператоров и турагентств.,"Другое (офисные пакеты, утилиты и пр.)",-
Adyen,PayAnyWay,"Платежный сервис-агрегатор, предоставляющий интернет-магазинам различные способы приема платежей.",Электронная коммерция и платежи,https://payanyway.ru/
Adyen,UnitPay,Платежный шлюз и агрегатор для приема платежей на сайтах и в интернет-магазинах.,Электронная коммерция и платежи,https://unitpay.ru/
Allscripts,1С:Поликлиника,"Прикладное решение для автоматизации основных процессов медицинских организаций, оказывающих помощь в амбулаторно-поликлинических условиях.",Здравоохранение и медицина,https://1c.ru/
Allscripts,МИС Галактика Здравоохранение,"Медицинская информационная система в рамках экосистемы ""Галактика"".",Здравоохранение и медицина,https://galaktika.ru/
Amazon Polly,Silero TTS,Модели и библиотеки для распознавания и синтеза русской речи от сообщества Silero.,Искусственный интеллект (AI),https://silero.ai/
Amazon Polly,Яндекс SpeechKit TTS,Модуль синтеза речи (Text-to-Speech) в рамках Яндекс SpeechKit.,Искусственный интеллект (AI),https://yandex.ru/
Anaplan,Polymatica Plan,"Решение для бюджетного планирования, прогнозирования и консолидации финансовых данных.",Аналитика и BI,https://polymatica.com/
Anaplan,RuData Plan,Платформа для интеграции данных из различных источников в единое информационное пространство.,Аналитика и BI,-
ANSYS,CAE Fidesys,"Программный комплекс для инженерного анализа (CAE) методом конечных элементов, включающий прочностные и тепловые расчеты.",CAD/CAM/CAE/PLM,https://fidesys.com/
ANSYS,ЛОГОС,Многофункциональный программный комплекс для инженерного анализа (CAE) и многодисциплинарного моделирования.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
ANSYS Fluent,FlowVision,Программный комплекс для вычислительной гидродинамики (CFD) для моделирования задач течения жидкости и газа.,CAD/CAM/CAE/PLM,https://flowvision.ru/
ANSYS Fluent,ЛОГОС CFD,Модуль вычислительной гидродинамики (Computational Fluid Dynamics) в ЛОГОС.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
Apache Hadoop,RuHadoop,Инструмент для статистического анализа данных.,Аналитика и BI,-
Apache Hadoop,Yadro DataLake,Решение для построения и управления дата-озером (Data Lake) для хранения и обработки неструктурированных данных.,Аналитика и BI,https://yadro.com/
Apache Kafka,Tarantool Stream,Модуль для обработки потоковых данных в Tarantool.,Базы данных,https://tarantool.io/
Apache Kafka,Сбер Kafka,Сервис обмена сообщениями на базе Apache Kafka в экосистеме Сбера.,Аналитика и BI,https://sbercloud.ru/
Apple Music,VK Музыка,Сервис потоковой передачи музыки и подкастов внутри социальной сети VK.,"Другое (офисные пакеты, утилиты и пр.)",https://vk.com/
Apple Music,Яндекс.Музыка,Стриминговый сервис для прослушивания музыки и подкастов.,"Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
ArcGIS,NextGIS,Платформа для разработки и использования геоинформационных систем (ГИС) и веб-карт.,Геоинформационные системы (ГИС),https://nextgis.com/
ArcGIS,Panorama GIS,"Отечественная геоинформационная система для работы с картами, космическими снимками и геоданными.",Геоинформационные системы (ГИС),https://gispana.ru/
ArcGIS Defense,NextGIS Secure,Решение для обеспечения безопасности и контроля доступа к геоданным.,Геоинформационные системы (ГИС),https://nextgis.com/
ArcGIS Defense,Panorama GIS Военная,"Специализированная версия ГИС ""Панорама"" для применения в органах управления и вооруженных силах.",Геоинформационные системы (ГИС),https://gispana.ru/
ArcGIS Online,NextGIS Cloud,"Облачный сервис для хостинга геоданных, создания и публикации веб-карт.",Геоинформационные системы (ГИС),https://nextgis.com/
ArcGIS Online,Панорама GIS,"Отечественная геоинформационная система для работы с картами, космическими снимками и геоданными.",Геоинформационные системы (ГИС),https://gispana.ru/
ArcGIS Pro,NextGIS,Платформа для разработки и использования геоинформационных систем (ГИС) и веб-карт.,Геоинформационные системы (ГИС),https://nextgis.com/
ArcGIS Pro,Panorama GIS,"Отечественная геоинформационная система для работы с картами, космическими снимками и геоданными.",Геоинформационные системы (ГИС),https://gispana.ru/
ArchiCAD,nanoCAD Архитектура,Специализированное приложение для архитектурно-строительного проектирования в среде nanoCAD.,CAD/CAM/CAE/PLM,https://nanocad.ru/
ArchiCAD,Renga,"Многофункциональная BIM-система для архитекторов, инженеров и проектировщиков.",CAD/CAM/CAE/PLM,https://rengabim.com/
ArchiFM,1С:Управление недвижимостью,"Программа для автоматизации управления коммерческой и жилой недвижимостью, арендой, обслуживанием и эксплуатацией.",Управление недвижимостью,https://1c.ru/
ArchiFM,Парус:Эксплуатация,Модуль для управления эксплуатацией и обслуживанием основных фондов и оборудования.,Управление бизнесом,https://parus.ru/
Asana,Bitrix24,"Многофункциональная платформа для управления бизнес-процессами, включающая CRM, задачи, коммуникации и инструменты продуктивности.",Управление бизнесом,https://www.bitrix24.ru/
Asana,WEEEK,"Система управления задачами и проектами, построенная на принципах Канбан и Agile.",Управление проектами,https://weekme.ru/
Aspen HYSYS,AnyLogic,"Многоцелевая среда имитационного моделирования для бизнес-процессов, логистики и сложных динамических систем.",Средства разработки,https://www.anylogic.ru/
Aspen HYSYS,Logos Process,"Система управления бизнес-процессами (BPMS) для их моделирования, автоматизации и контроля исполнения.",CAD/CAM/CAE/PLM,-
Atlassian Confluence,Bitrix24 Wiki,"Инструмент для создания и ведения корпоративной базы знаний, документации и внутренних порталов внутри Bitrix24.",Коммуникации и коллаборация,https://www.bitrix24.ru/
Atlassian Confluence,ЭОС Корпоративный портал,Платформа для построения корпоративного портала и интранета.,"Другое (офисные пакеты, утилиты и пр.)",https://eos.ru/
AutoCAD,nanoCAD,"Базовая российская система автоматизированного проектирования (САПР), совместимая с форматом DWG.",CAD/CAM/CAE/PLM,https://nanocad.ru/
AutoCAD,Компас-3D,Российская система трехмерного твердотельного параметрического моделирования (САПР).,CAD/CAM/CAE/PLM,https://ascon.ru/
Autodesk Civil 3D,Credo Civil,Программный комплекс для проектирования и изысканий в области промышленного и гражданского строительства.,CAD/CAM/CAE/PLM,https://credo-dialogue.com/
Autodesk Civil 3D,nanoCAD Геоника,"Решение для создания и обработки геоподосновы, генпланов и выполнения геодезических задач.",CAD/CAM/CAE/PLM,https://nanocad.ru/
Autodesk Fusion 360,nanoCAD,"Базовая российская система автоматизированного проектирования (САПР), совместимая с форматом DWG.",CAD/CAM/CAE/PLM,https://nanocad.ru/
Autodesk Fusion 360,Компас-3D,Российская система трехмерного твердотельного параметрического моделирования (САПР).,CAD/CAM/CAE/PLM,https://ascon.ru/
Autodesk Inventor,T-FLEX CAD,Базовая параметрическая система САПР для 2D-черчения и 3D-моделирования.,CAD/CAM/CAE/PLM,https://tflex.com/
Autodesk Inventor,Компас-3D,Российская система трехмерного твердотельного параметрического моделирования (САПР).,CAD/CAM/CAE/PLM,https://ascon.ru/
Autodesk Revit,nanoCAD BIM,Платформа для информационного моделирования зданий (BIM) на базе nanoCAD.,CAD/CAM/CAE/PLM,https://nanocad.ru/
Autodesk Revit,Renga Architecture,Приложение для архитектурного проектирования в среде Renga.,CAD/CAM/CAE/PLM,https://rengabim.com/
Autodesk Robot Structural Analysis,SCAD Office,Программный комплекс для расчета строительных конструкций методом конечных элементов.,CAD/CAM/CAE/PLM,https://scadsoft.com/
Autodesk Robot Structural Analysis,ЛИРА-САПР,Программный комплекс для расчета и проектирования строительных конструкций.,CAD/CAM/CAE/PLM,https://liraland.ru/
AutoPlant,nanoCAD СПДС,Модуль для автоматизации оформления проектной и рабочей документации по российским стандартам (СПДС).,CAD/CAM/CAE/PLM,https://nanocad.ru/
AutoPlant,Renga Mechanical,Приложение для проектирования машиностроительных изделий и конструкций в Renga.,CAD/CAM/CAE/PLM,https://rengabim.com/
Avaloq,R-Style Softlab RS-Bank,Решение для автоматизации банковской деятельности от компании R-Style Softlab.,Управление бизнесом,https://r-style.ru/
Avaya Aura,TrueConf Server,Серверное ПО для развертывания самостоятельной (on-premise) системы видеоконференцсвязи.,Коммуникации и коллаборация,https://trueconf.ru/
Avaya Aura,Ростелеком Виртуальная АТС,Облачная АТС для бизнеса от Ростелекома.,Коммуникации и коллаборация,https://rt.ru/
AVEVA,nanoCAD Engineering,"Модуль nanoCAD для решения инженерных задач, таких как расчеты и проектирование механизмов.",CAD/CAM/CAE/PLM,https://nanocad.ru/
AVEVA,Renga,"Многофункциональная BIM-система для архитекторов, инженеров и проектировщиков.",CAD/CAM/CAE/PLM,https://rengabim.com/
AVEVA PDMS,nanoCAD Engineering,"Модуль nanoCAD для решения инженерных задач, таких как расчеты и проектирование механизмов.",CAD/CAM/CAE/PLM,https://nanocad.ru/
AVEVA PDMS,Renga BIM,Базовая платформа для информационного моделирования зданий (BIM) от Renga.,CAD/CAM/CAE/PLM,https://rengabim.com/
AVEVA System Platform,SCADA ЛОГОС,Универсальная SCADA-система для сбора данных и диспетчерского управления технологическими процессами.,Управление бизнесом,-
AVEVA System Platform,Trace Mode Enterprise,Корпоративная версия SCADA Trace Mode для управления распределенными и сложными объектами.,Управление бизнесом,https://tracenode.com/
AWS,SberCloud,"Платформа для управления данными, обеспечивающая их доступность, качество и согласованность в масштабах предприятия.",Облачные платформы и инфраструктура,https://sbercloud.ru/
AWS,Selectel Cloud,Платформа для управления сегментами клиентов и запуска персонализированных маркетинговых кампаний.,Облачные платформы и инфраструктура,https://selectel.ru/
AWS Connect,Naumen Cloud CC,Облачный сервис для организации многоканального контакт-центра от компании Naumen.,Коммуникации и коллаборация,https://www.naumen.ru/
AWS Connect,TrueConf CC,Серверное решение для развертывания корпоративной системы видеосвязи.,Коммуникации и коллаборация,https://trueconf.ru/
AWS GovCloud,Ростелеком ГосОблако,Защищенное облако для размещения информационных систем государственных органов.,Облачные платформы и инфраструктура,https://rt.ru/
AWS GovCloud,СберCloud Gov,Защищенное облако от Сбера для государственных информационных систем.,Облачные платформы и инфраструктура,https://sbercloud.ru/
AWS IoT,МТС IoT Hub,"Платформа для подключения, управления и мониторинга устройств интернета вещей (IoT) от МТС.",Облачные платформы и инфраструктура,https://mts.ru/
AWS IoT,Ростелеком IoT Platform,Комплексная платформа для разработки и эксплуатации решений в области интернета вещей.,Облачные платформы и инфраструктура,https://rt.ru/
AWS IoT FleetWise,МТС Логистика,Решение для управления логистикой и цепями поставок от МТС.,Логистика и WMS,https://mts.ru/
AWS IoT FleetWise,Ростелеком IoT,Платформа интернета вещей для подключения и управления IoT-устройствами.,Облачные платформы и инфраструктура,https://rt.ru/
AWS KMS,VipNet CSP,"Криптопровайдер, средство криптографической защиты информации, используемое для электронной подписи и шифрования.",Безопасность,https://infotecs.ru/
AWS KMS,КриптоПро CSP,"Средство криптографической защиты информации, российский криптопровайдер для электронной подписи и шифрования.",Безопасность,https://cryptopro.ru/
AWS Rekognition,VisionLab AI,Решения на основе искусственного интеллекта для задач компьютерного зрения.,Искусственный интеллект (AI),https://visionlabs.ai/
AWS Rekognition,Сбер Vision,Сервисы компьютерного зрения и распознавания образов от Сбера.,Искусственный интеллект (AI),https://sberdevices.ru/
Azure,VK Cloud,"Публичное облако от VK для размещения виртуальной инфраструктуры, приложений и данных.",Облачные платформы и инфраструктура,https://mcs.mail.ru/
Azure,Ростелеком Облако,Публичное облако от Ростелекома для бизнеса.,Облачные платформы и инфраструктура,https://rt.ru/
Azure Cognitive Services,Сбер AI Kit,Набор инструментов и библиотек для разработки AI-приложений от Сбера.,Средства разработки,https://sbercloud.ru/
Azure Cognitive Services,Яндекс SpeechKit,Технология распознавания и синтеза речи от Яндекса.,Искусственный интеллект (AI),https://yandex.ru/
Bentley MicroStation,Credo Civil,Программный комплекс для проектирования и изысканий в области промышленного и гражданского строительства.,CAD/CAM/CAE/PLM,https://credo-dialogue.com/
Bentley MicroStation,nanoCAD Конструктор,Приложение для проектирования строительных металлических и железобетонных конструкций.,CAD/CAM/CAE/PLM,https://nanocad.ru/
Bentley MicroStation Civil,Credo Civil,Программный комплекс для проектирования и изысканий в области промышленного и гражданского строительства.,CAD/CAM/CAE/PLM,https://credo-dialogue.com/
Bentley MicroStation Civil,Геоника,"Программный комплекс для геологического моделирования, подсчета запасов и проектирования горных работ.",Геоинформационные системы (ГИС),https://g-e-o-n-i-k-a.ru/
Bentley OpenPlant,nanoCAD Engineering,"Модуль nanoCAD для решения инженерных задач, таких как расчеты и проектирование механизмов.",CAD/CAM/CAE/PLM,https://nanocad.ru/
Bentley OpenPlant,Renga,"Многофункциональная BIM-система для архитекторов, инженеров и проектировщиков.",CAD/CAM/CAE/PLM,https://rengabim.com/
Bentley OpenRoads,Credo Roads,"Специализированное ПО для автоматизации проектирования, реконструкции и строительства автомобильных дорог.",CAD/CAM/CAE/PLM,https://credo-dialogue.com/
Bentley OpenRoads,Автодор-Инфо,"Информационная система для участников дорожного движения, предоставляющая данные о дорожной обстановке и платных участках.",Транспорт и телематика,-
Bitbucket,GitFlic,"Российская платформа для хостинга IT-проектов, основанная на системе управления версиями Git.",Средства разработки,https://gitflic.ru/
Bitbucket,VK Code,Инструменты и платформа для разработки и совместной работы над кодом от VK.,Средства разработки,https://vk.com/
Bitdefender,Kaspersky Endpoint,Базовое решение для защиты рабочих станций и серверов от киберугроз.,Безопасность,https://www.kaspersky.ru/
Bitdefender,Security Vision,"Российский разработчик решений для информационной безопасности (например, антивирусные ядра).",Безопасность,https://securityvision.ru/
Blackboard,iSpring Learn,"Система дистанционного обучения (LMS) для создания, проведения и управления онлайн-курсами и тестированиями.",Образование и LMS,https://www.ispring.ru/
Blackboard,СДО Mirapolis,Система дистанционного обучения от компании Mirapolis.,Образование и LMS,https://mirapolis.ru/
Blender (междунар.),Blender (рос. сборка),"Российская версия или сборка популярного пакета для создания 3D-графики, анимации, визуальных эффектов и игр.",Мультимедиа и графика,https://blender.org/
Blender Cloud,Renga Visualizer,Модуль для высококачественной визуализации и создания презентаций 3D-моделей из Renga.,CAD/CAM/CAE/PLM,https://rengabim.com/
Blender Cloud,Компас-Графика,Приложение для двумерного черчения и проектирования в составе системы КОМПАС.,CAD/CAM/CAE/PLM,https://ascon.ru/
Bloomberg Terminal,RuMarket Data,Платформа для создания и управления онлайн-маркетплейсами и электронной торговлей.,Электронная коммерция и платежи,-
Bloomberg Terminal,Интерфакс,"Информационное агентство, предоставляющее новости, аналитику и финансовые данные.","Другое (офисные пакеты, утилиты и пр.)",https://interfax.ru/
Bloomberg Terminal,СПАРК,Информационно-аналитическая система для проверки контрагентов и получения финансовой отчетности российских компаний.,Аналитика и BI,https://spark-interfax.ru/
Blue Yonder (JDA),Cleverence WMS,"Система управления складом (WMS) для автоматизации учета товаров, операций и оптимизации складских процессов.",Логистика и WMS,https://cleverence.ru/
Blue Yonder (JDA),Solvo.TMS,"Система управления событиями информационной безопасности (SIEM) от ""Ростелеком-Солар"".",Логистика и WMS,-
Buffer,Amplifr,"Сервис для анализа и управления присутствием в социальных сетях, включая планирование публикаций и аналитику.",Маркетинг и SMM,https://amplifr.com/
Buffer,KUKU.io,"Сервис для планирования и автоматизации публикаций в социальных сетях, анализа статистики и управления репутацией.",Маркетинг и SMM,-
Camtasia Studio,Movavi Screen Recorder,"Утилита для записи видео с экрана компьютера, часто с возможностью захвата звука и веб-камеры.",Мультимедиа и графика,https://www.movavi.ru/
Canva,Crello (VistaCreate,"Онлайн-редактор для создания графического контента: макеты для соцсетей, презентации, баннеры, видео с использованием шаблонов.",Мультимедиа и графика,https://create.vista.com/
Canva,RU версия),"Общее указание на то, что программное обеспечение является локализованной или адаптированной российской версией.","Другое (офисные пакеты, утилиты и пр.)",-
Canva Pro,Re-Draw,"Сервис или инструмент для автоматического векторизации растровых изображений (например, логотипов).",Мультимедиа и графика,-
Canva Pro,VistaCreate,Онлайн-платформа для дизайна и создания визуального контента (ранее известная как Crello).,Мультимедиа и графика,https://create.vista.com/
Canvas LMS,Mirapolis LMS,"Система управления обучением (LMS) для администрирования, отслеживания и отчетности по учебным курсам.",Образование и LMS,https://mirapolis.ru/
Canvas LMS,Teachbase,"Платформа для создания, проведения и управления корпоративным обучением (LMS).",Образование и LMS,https://teachbase.ru/
CATIA,T-FLEX CAD,Базовая параметрическая система САПР для 2D-черчения и 3D-моделирования.,CAD/CAM/CAE/PLM,https://tflex.com/
CATIA,Компас-3D,Российская система трехмерного твердотельного параметрического моделирования (САПР).,CAD/CAM/CAE/PLM,https://ascon.ru/
Cerner Millennium,1С:Медицина,"Семейство программных продуктов на базе 1С, предназначенных для автоматизации процессов в медицинских учреждениях. Включает решения для поликлиник, больниц, стоматологических клиник, лабораторий и других учреждений.",Здравоохранение и медицина,https://1c.ru/
Cerner Millennium,МИС МедКонтур,"Медицинская информационная система для поликлиник, стационаров и диагностических центров.",Здравоохранение и медицина,-
ChatGPT,GigaChat,"Многофункциональная нейросетевая модель (генеративный ИИ) от Сбера, способная вести диалог и решать различные задачи.",Искусственный интеллект (AI),https://cloud.gigachat.ru/
ChatGPT,YaLM,"Большая языковая модель (LLM) от Яндекса, аналогичная GPT, для генерации и понимания текста.",Искусственный интеллект (AI),https://yandex.ru/
Check Point,PT MaxPatrol SIEM,Система управления событиями и информационной безопасностью (SIEM) для мониторинга и реагирования на угрозы.,Безопасность,https://ptsecurity.com/
Check Point,Security Vision,"Комплексная платформа для мониторинга и управления информационной безопасностью организации (SIEM, SOAR).",Безопасность,https://securityvision.ru/
Cisco Secure,Solar Dozor NGFW,Сервис для планирования и автоматизации публикаций в социальных сетях.,Безопасность,https://rt-solar.ru/
Cisco Secure,Рустех Firewall,"Межсетевой экран для защиты периметра сети от ""Рустех"".",Безопасность,-
Cisco Security,InfoWatch,Компания-разработчик решений для защиты конфиденциальной информации и обеспечения информационной безопасности.,Безопасность,https://www.infowatch.com/
Cisco Security,Ростелеком Solar Dozor,Решения для информационной безопасности под брендом Solar Dozor от Ростелекома.,Безопасность,https://rt.ru/
Cisco Webex,TrueConf,Программное обеспечение для организации видеоконференцсвязи и онлайн-встреч.,Коммуникации и коллаборация,https://trueconf.ru/
Cisco Webex,Webinar.ru,"Российская платформа для проведения вебинаров, онлайн-конференций и видеотрансляций.",Образование и LMS,https://webinar.ru/
Citrix,Astra Virtualization,"Платформа виртуализации для построения безопасной ИТ-инфраструктуры, включающая управление виртуальными машинами и ресурсами.",Виртуализация,https://astralinux.ru/
Citrix,Рустех VDI,"Решение для виртуальных рабочих столов (Virtual Desktop Infrastructure) от ""Рустех"".",Виртуализация,-
Citrix Virtual Apps,Astra Virtualization,"Платформа виртуализации для построения безопасной ИТ-инфраструктуры, включающая управление виртуальными машинами и ресурсами.",Виртуализация,https://astralinux.ru/
Citrix Virtual Apps,Рустех VDI,"Решение для виртуальных рабочих столов (Virtual Desktop Infrastructure) от ""Рустех"".",Виртуализация,-
Civil 3D,Credo Civil,Программный комплекс для проектирования и изысканий в области промышленного и гражданского строительства.,CAD/CAM/CAE/PLM,https://credo-dialogue.com/
Civil 3D,nanoCAD Геоника,"Решение для создания и обработки геоподосновы, генпланов и выполнения геодезических задач.",CAD/CAM/CAE/PLM,https://nanocad.ru/
Cloudera,Polymatica BigData,"Компонент платформы для работы с большими данными, их хранения и распределенной обработки.",Аналитика и BI,https://polymatica.com/
Cloudera,Yadro Data Platform,Платформа для управления и анализа больших данных от компании YADRO.,Аналитика и BI,https://yadro.com/
COMSOL,Fidesys Multiphysics,"Модуль Fidesys для проведения мультифизических расчетов, учитывающих взаимодействие различных физических полей.",CAD/CAM/CAE/PLM,https://fidesys.com/
COMSOL Multiphysics,Fidesys Multiphysics,"Модуль Fidesys для проведения мультифизических расчетов, учитывающих взаимодействие различных физических полей.",CAD/CAM/CAE/PLM,https://fidesys.com/
COMSOL Multiphysics,ЛОГОС Моделирование,"Общее направление, связанное с построением и расчетом моделей в ЛОГОС.",CAD/CAM/CAE/PLM,https://logos-engineering.ru/
Confluence,Bitrix24 Wiki,"Инструмент для создания и ведения корпоративной базы знаний, документации и внутренних порталов внутри Bitrix24.",Коммуникации и коллаборация,https://www.bitrix24.ru/
Confluence,WikiSmart,Платформа для создания и ведения корпоративных вики и баз знаний.,"Другое (офисные пакеты, утилиты и пр.)",-
Coupa,B2B-Center,"Электронная торговая площадка для организации закупочных и сбытовых процедур (тендеры, аукционы, запросы котировок).",Электронная коммерция и платежи,https://b2b-center.ru/
Coupa,RTS-тендер,Электронная торговая площадка для проведения конкурсов и аукционов по государственным и коммерческим закупкам.,Управление бизнесом,https://rts-tender.ru/
Coursera,Skillbox,"Модуль синтеза речи (Text-to-Speech) от Silero, генерирующий естественное звучание на русском языке.",Образование и LMS,https://skillbox.ru/
Coursera,Stepik,"Образовательная платформа и конструктор для создания и прохождения онлайн-курсов, часто по программированию и точным наукам.",Образование и LMS,https://stepik.org/
Coursera,Нетология,"Онлайн-платформа дополнительного образования, предлагающая курсы по digital-профессиям.",Образование и LMS,https://netology.ru/
CrowdStrike Falcon,Kaspersky EDR,Решение для обнаружения и реагирования на угрозы на конечных точках (Endpoint Detection and Response).,Безопасность,https://www.kaspersky.ru/
CrowdStrike Falcon,Security Vision EDR,Модуль защиты баз данных в рамках платформы Security Vision.,Безопасность,https://securityvision.ru/
Cubase,Samplitude (RU),Российская версия или адаптация платформы для цифровизации управления строительными проектами.,Мультимедиа и графика,https://magix.com/
Cubase,Sound Forge,Система управления складом (WMS) для оптимизации складских операций и учета товаров.,Мультимедиа и графика,https://magix.com/
Dassault CATIA Aerospace,T-FLEX CAD,Базовая параметрическая система САПР для 2D-черчения и 3D-моделирования.,CAD/CAM/CAE/PLM,https://tflex.com/
Dassault CATIA Aerospace,Компас-3D,Российская система трехмерного твердотельного параметрического моделирования (САПР).,CAD/CAM/CAE/PLM,https://ascon.ru/
Dassault DELMIA,T-FLEX MES,Система управления производственными операциями (MES).,CAD/CAM/CAE/PLM,https://tflex.com/
Dassault DELMIA,Галактика MES,"Система управления производственными операциями (MES) в рамках экосистемы ""Галактика"".",Управление бизнесом,https://galaktika.ru/
Dassault ENOVIA,T-FLEX DOCs,Система управления инженерными данными и документацией (PDM).,CAD/CAM/CAE/PLM,https://tflex.com/
Dassault ENOVIA,Галактика PLM,Система управления жизненным циклом изделий (PLM) для промышленных предприятий.,CAD/CAM/CAE/PLM,https://galaktika.ru/
